,Reporting_year,CORNO,mountains,coverage total,town_distance_miles,road_distance_miles,length,miles,death_counts,az_encounters,az_staffing,total_border_miles,total_unwalled_miles,percent_unwalled_border,town_distance_miles_median
7,1990.0,8.0,,,,,11542.392641138287,7.172110273956126,0.0,89448.0,,7.172110273956126,376.7343712248462,0.019037578786979325,
8,1990.0,9.0,,,,,22121.71047204987,13.745793605096509,0.0,89448.0,,13.745793605096509,376.7343712248462,0.03648669899803916,
9,1990.0,10.0,,,,,31063.297973858003,19.30183848946733,0.0,89448.0,,19.301838489467332,376.7343712248462,0.05123460975093091,
10,1990.0,11.0,0.0,6.0,0.3063974053069894,0.0193126340967332,89886.65062920398,55.85297524635603,1.0,89448.0,,55.85297524635603,376.7343712248462,0.14825558672750178,0.3063974053069894
11,1990.0,12.0,,,,,113758.2570957592,70.68610381143436,0.0,89448.0,,70.9213161607967,376.7343712248462,0.18762849692110203,
12,1991.0,1.0,,,,,34091.244753207124,21.183317389064054,0.0,88374.0,,21.183317389064058,376.7343712248462,0.05622878878874905,
13,1991.0,2.0,,,,,42229.88084757553,26.240431400275977,0.0,88374.0,,26.240431400275977,376.7343712248462,0.06965234235188728,
14,1991.0,3.0,,,,,33284.13206254826,20.681800814391032,0.0,88374.0,,20.681800814391032,376.7343712248462,0.05489756813839405,
15,1991.0,4.0,0.0,7.0,0.0,0.1004602164405205,39421.587570105046,24.495438858968555,3.0,88374.0,,24.495438858968555,376.7343712248462,0.0650204513576197,0.0
16,1991.0,5.0,,,,,58304.41194386428,36.22868194841799,0.0,88374.0,,36.228681948417986,376.7343712248462,0.09616505611269444,
17,1991.0,6.0,,,,,46337.47309657957,28.792770892289575,0.0,88374.0,,28.792770892289578,376.7343712248462,0.07642724713085762,
18,1991.0,7.0,2.0,6.0,8.015567404869735,4.578293024627503,84254.16107016541,52.35310849512868,3.0,88374.0,,52.35310849512868,376.7343712248462,0.13896557493524475,10.477191768969066
19,1991.0,8.0,,,,,11542.392641138287,7.172110273956126,0.0,88374.0,,7.172110273956126,376.7343712248462,0.019037578786979325,
20,1991.0,9.0,,,,,22121.71047204987,13.745793605096509,0.0,88374.0,,13.745793605096509,376.7343712248462,0.03648669899803916,
21,1991.0,10.0,,,,,31063.297973858003,19.30183848946733,0.0,88374.0,,19.301838489467332,376.7343712248462,0.05123460975093091,
22,1991.0,11.0,,,,,89886.65062920398,55.85297524635603,0.0,88374.0,,55.85297524635603,376.7343712248462,0.14825558672750178,
23,1991.0,12.0,,,,,113758.2570957592,70.68610381143436,0.0,88374.0,,70.9213161607967,376.7343712248462,0.18762849692110203,
24,1992.0,1.0,,,,,34091.244753207124,21.183317389064054,0.0,95928.0,495.0,21.183317389064058,371.3465305345004,0.05704460833005141,
25,1992.0,2.0,,,,,42229.88084757553,26.240431400275977,0.0,95928.0,495.0,26.240431400275977,371.3465305345004,0.07066292328760045,
26,1992.0,3.0,,,,,33284.13206254826,20.681800814391032,0.0,95928.0,495.0,20.681800814391032,371.3465305345004,0.055694073092920855,
27,1992.0,4.0,0.0,7.0,0.0,0.1004602164405205,39421.587570105046,24.495438858968555,2.0,95928.0,495.0,24.495438858968555,371.3465305345004,0.06596382851271254,0.0
